filename, Cardboard, Glass
glass223_jpg.rf.e484400914e225438c5a4a6d37d4fab4.jpg, 0, 0
cardboard128_jpg.rf.e4932af469f45cc0959962904c39455f.jpg, 1, 0
metal117_jpg.rf.e4aaefd25ae647b5c6d824b9b7b66301.jpg, 0, 0
paper110_jpg.rf.e4ae5d486cec6bec8f42a5e59d221638.jpg, 0, 0
plastic395_jpg.rf.e4d029ffd9a9ce6501ad34d68dcdc6e0.jpg, 0, 0
plastic101_jpg.rf.e4ee74f90dac56ff000c812c04dc160b.jpg, 0, 0
glass93_jpg.rf.e51127f984b28f4db3ea0f220fad22f0.jpg, 0, 0
paper330_jpg.rf.e51c6cd483fdb73906c27c2cb3fd7e6e.jpg, 0, 0
metal148_jpg.rf.e54d46ce428dc1b759c2f10506d13db3.jpg, 0, 0
plastic372_jpg.rf.e58f12d5ff85e6d63e645e8b8e0a8aad.jpg, 0, 0
paper323_jpg.rf.e59e29f5ee256f7f1182adbb7b11f620.jpg, 0, 0
glass19_jpg.rf.e63903a56afb8e445980fe6916f810e9.jpg, 0, 0
paper362_jpg.rf.e66d64faf1fb6522163f5d82fd2a472b.jpg, 0, 0
plastic340_jpg.rf.e6b58c3c72515edc8780e38988fe8d32.jpg, 0, 0
paper389_jpg.rf.e6c757581d5767b74f2a93b8af33ff78.jpg, 0, 0
paper102_jpg.rf.e5a380d7d10bf4fe0bb52d629679cc29.jpg, 0, 0
paper467_jpg.rf.e71baaaf8155e91fe1a7eb65747d2c5f.jpg, 0, 0
paper45_jpg.rf.e68ba2026b664e88f6e58c52a89d0c65.jpg, 0, 0
paper87_jpg.rf.e718517087a51481c3de01f69db5e7c0.jpg, 0, 0
trash84_jpg.rf.e6b8e822aacede5a3978eab168d07596.jpg, 0, 0
glass62_jpg.rf.e72b8001ac95e7acc48bfa1dfeee9137.jpg, 0, 0
paper574_jpg.rf.e77991788df040cd1b92b01631a3d977.jpg, 0, 0
metal110_jpg.rf.e756757e0ed329630ebee3baf82e8d87.jpg, 0, 0
metal266_jpg.rf.e7bc3b6492ddb4468589c9e3a4e8c7e7.jpg, 0, 0
paper415_jpg.rf.e7989d25cc23a45beae1ee42f299babe.jpg, 0, 0
plastic67_jpg.rf.e7c0b8b94dde6d68f9cebe96377f8c52.jpg, 0, 0
plastic60_jpg.rf.e8a0f2a8d3deb6f1a13f2fc681dd562f.jpg, 0, 0
plastic161_jpg.rf.e83755f8a983a0473964932a0a8f5182.jpg, 0, 0
glass29_jpg.rf.e8789dd5dae904c0efcd4fc0480f791a.jpg, 0, 0
metal107_jpg.rf.e8cfc7d521fcb9fef1f55e9409649c1c.jpg, 0, 0
plastic176_jpg.rf.e918a4ea143741773539106f72bf58dc.jpg, 0, 0
plastic252_jpg.rf.e7e03c88cb31c427e3e9e5c0aa030788.jpg, 0, 0
glass86_jpg.rf.e99d9fc5bfeb7cf072b0522dca737e5c.jpg, 0, 0
glass21_jpg.rf.e7f9addf8987d20c661de3bd08258df5.jpg, 0, 0
glass209_jpg.rf.ea0964482cfa8b3f3ae058c5c21f193b.jpg, 0, 0
paper149_jpg.rf.ea1d407f7a241edf3bd2d8846d220919.jpg, 0, 0
cardboard152_jpg.rf.e922dec1adc4a3a60dd42571b4091636.jpg, 1, 0
metal225_jpg.rf.e937ed9c03210a6d981abdec901d9c04.jpg, 0, 0
metal116_jpg.rf.e989617e7046fb0f657716fcfed220b5.jpg, 0, 0
plastic472_jpg.rf.ead9aa8997e6567e9c1d6a8009a0a2db.jpg, 0, 0
cardboard213_jpg.rf.eae511e6b0b0997771fdc7923fbff047.jpg, 1, 0
paper298_jpg.rf.ebd03fd6d1efadf5b4cba2be9e404aee.jpg, 0, 0
paper358_jpg.rf.ec35c97e2fb3d6de25792b2b7158a7d4.jpg, 0, 0
